Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol/OI,IV,Delta,Time
$SPX,4273.79,Put,4165,6/12/2023,7,1.95,2.08,2.2,2.05,673,207,3.25,12.65%,-0.062747,16:14 ET
$SPX,4273.79,Call,4575,7/31/2023,56,5.6,5.85,6.1,7.4,1001,309,3.24,10.51%,0.075354,13:59 ET
$SPX,4273.79,Call,4490,8/18/2023,74,25,25.45,25.9,26.4,594,186,3.19,10.76%,0.219497,15:24 ET
$SPX,4273.79,Call,4330,6/6/2023,1,0.2,0.25,0.3,0.27,4551,1437,3.17,12.61%,0.025324,16:14 ET
$SPX,4273.79,Put,4220,6/7/2023,2,1.4,1.5,1.6,1.55,1289,408,3.16,12.71%,-0.084009,16:11 ET
$SPX,4273.79,Put,3695,7/21/2023,46,5.9,6.1,6.3,6.2,500,159,3.14,24.94%,-0.039436,15:02 ET
$SPX,4273.79,Call,4305,6/7/2023,2,4.2,4.35,4.5,4.25,1720,551,3.12,11.53%,0.207387,16:12 ET
$SPX,4273.79,Call,4360,6/7/2023,2,0.2,0.25,0.3,0.25,1275,414,3.08,12.58%,0.017439,15:59 ET
$SPX,4273.79,Put,3750,6/7/2023,2,0.05,0.1,0.15,0.1,4818,1570,3.07,61.12%,-0.001765,16:04 ET
$SPX,4273.79,Put,4175,6/12/2023,7,2.4,2.53,2.65,2.5,1469,479,3.07,12.31%,-0.07601,16:14 ET
$SPX,4273.79,Put,4210,6/6/2023,1,0.25,0.3,0.35,0.26,2708,900,3.01,14.38%,-0.021726,16:14 ET
$SPX,4273.79,Put,4165,7/21/2023,46,35.8,36.2,36.6,35.34,816,272,3,14.60%,-0.265246,14:24 ET
$SPX,4273.79,Put,4195,6/6/2023,1,0.15,0.22,0.3,0.24,1215,411,2.96,17.00%,-0.017422,16:14 ET
$SPX,4273.79,Put,4255,6/9/2023,4,11.4,11.6,11.8,11.8,884,307,2.88,11.56%,-0.341594,16:01 ET
$SPX,4273.79,Put,4300,6/9/2023,4,32.3,32.65,33,32.43,1757,619,2.84,9.85%,-0.715176,15:52 ET
$SPX,4273.79,Put,4200,6/6/2023,1,0.2,0.25,0.3,0.22,5127,1803,2.84,15.87%,-0.017146,16:14 ET
$SPX,4273.79,Call,4320,6/7/2023,2,1.85,1.95,2.05,1.85,2041,725,2.82,11.37%,0.107395,16:11 ET
$SPX,4273.79,Call,4325,6/8/2023,3,3,3.15,3.3,3.1,1564,563,2.78,11.55%,0.137236,16:12 ET
$SPX,4273.79,Put,4185,6/6/2023,1,0.15,0.2,0.25,0.2,1427,515,2.77,18.36%,-0.013811,16:08 ET
$SPX,4273.79,Put,4125,6/6/2023,1,0.05,0.1,0.15,0.15,2456,887,2.77,27.90%,-0.00729,16:02 ET
$SPX,4273.79,Put,4260,6/9/2023,4,12.9,13.15,13.4,13.49,2574,932,2.76,11.28%,-0.375332,16:14 ET
$SPX,4273.79,Put,4285,6/16/2023,11,37.5,37.8,38.1,38.55,599,218,2.75,11.76%,-0.527631,15:57 ET
$SPX,4273.79,Put,4185,6/12/2023,7,2.95,3.08,3.2,3.1,817,300,2.72,12.02%,-0.09293,16:14 ET
$SPX,4273.79,Call,4325,6/6/2023,1,0.25,0.33,0.4,0.4,5602,2070,2.71,12.48%,0.03609,16:14 ET
$SPX,4273.79,Put,4175,7/3/2023,28,22.5,22.9,23.3,24.3,914,338,2.7,13.80%,-0.236886,15:13 ET
$SPX,4273.79,Call,4675,8/18/2023,74,4,4.25,4.5,4.3,1537,573,2.68,10.59%,0.051181,15:55 ET
$SPX,4273.79,Put,4350,10/20/2023,137,149.4,150.25,151.1,151.8,702,266,2.64,13.83%,-0.526874,15:35 ET
$SPX,4273.79,Call,4325,6/7/2023,2,1.35,1.45,1.55,1.45,2300,875,2.63,11.51%,0.086769,16:12 ET
$VIX,14.73,Call,14,8/16/2023,72,5.4,5.55,5.7,5.61,788,301,2.62,211.37%,0.703541,16:09 ET
$SPX,4273.79,Call,4325,6/12/2023,7,7.2,7.45,7.7,7.3,2027,782,2.59,10.01%,0.217077,16:13 ET
$XSP,427.38,Put,424,6/16/2023,11,2.08,2.12,2.15,1.98,550,215,2.56,12.78%,-0.335559,14:06 ET
$SPX,4273.79,Put,3750,6/12/2023,7,0.1,0.2,0.3,0.2,755,296,2.55,35.08%,-0.003131,16:12 ET
$SPX,4273.79,Call,4295,6/8/2023,3,10.2,10.4,10.6,10.5,583,231,2.52,12.02%,0.340695,16:01 ET
$SPX,4273.79,Put,4260,6/7/2023,2,7.9,8.05,8.2,8.5,3557,1419,2.51,11.32%,-0.337997,16:14 ET
$SPX,4273.79,Put,4085,6/6/2023,1,0.05,0.1,0.15,0.1,750,301,2.49,33.06%,-0.00431,16:11 ET
$SPX,4273.79,Put,3800,6/7/2023,2,0.05,0.08,0.1,0.1,5297,2169,2.44,55.45%,-0.001933,16:09 ET
$SPX,4273.79,Put,3825,6/7/2023,2,0.05,0.1,0.15,0.1,598,250,2.39,52.62%,-0.00203,16:09 ET
$SPX,4273.79,Put,4250,6/9/2023,4,10,10.15,10.3,10.49,6055,2558,2.37,11.55%,-0.306286,16:14 ET
$SPX,4273.79,Put,4220,6/8/2023,3,2.7,2.83,2.95,3,598,255,2.35,12.30%,-0.119983,16:11 ET
$SPX,4273.79,Put,4225,6/23/2023,18,23.6,23.95,24.3,24.48,1367,586,2.33,12.62%,-0.309982,16:11 ET
$SPX,4273.79,Put,4280,6/12/2023,7,23.8,24.15,24.5,24.8,555,238,2.33,9.63%,-0.521399,16:11 ET
$SPX,4273.79,Put,4250,6/14/2023,9,20.9,21.2,21.5,22.03,835,362,2.31,12.56%,-0.36568,15:58 ET
$SPX,4273.79,Put,4200,6/12/2023,7,4.1,4.25,4.4,4.34,5140,2229,2.31,11.62%,-0.126182,16:14 ET
$SPX,4273.79,Put,3890,6/7/2023,2,0.05,0.1,0.15,0.15,573,252,2.27,47.16%,-0.003268,15:15 ET
$SPX,4273.79,Put,4230,6/23/2023,18,24.8,25.2,25.6,25.72,677,301,2.25,12.50%,-0.323812,16:11 ET
$SPX,4273.79,Call,4850,6/30/2023,25,0,0.08,0.15,0.1,810,361,2.24,16.13%,0.001923,10:22 ET
$XSP,427.38,Call,427,6/5/2023,0,0.29,0.52,0.75,0.5,682,306,2.23,2.40%,0.795003,15:59 ET
$SPX,4273.79,Put,4100,6/12/2023,7,0.75,0.83,0.9,0.85,1582,714,2.22,15.61%,-0.024261,16:01 ET
$SPX,4273.79,Call,4350,6/8/2023,3,0.85,0.95,1.05,0.96,587,265,2.22,11.61%,0.051079,16:12 ET
$SPX,4273.79,Call,4295,6/7/2023,2,6.8,6.95,7.1,6.7,1336,607,2.2,11.75%,0.297051,16:11 ET
$SPX,4273.79,Call,4290,6/12/2023,7,18.5,18.8,19.1,18.5,900,415,2.17,10.17%,0.423649,16:12 ET
$SPX,4273.79,Put,4110,6/12/2023,7,0.8,0.93,1.05,0.9,763,356,2.14,15.00%,-0.026449,16:14 ET
$SPX,4273.79,Call,4310,6/7/2023,2,3.2,3.35,3.5,3.25,2793,1309,2.13,11.45%,0.168862,16:10 ET
$SPX,4273.79,Call,4260,6/6/2023,1,20.3,20.7,21.1,20.3,1664,797,2.09,13.17%,0.688857,16:14 ET
$SPX,4273.79,Call,4380,7/7/2023,32,21.5,21.9,22.3,21.36,783,377,2.08,10.67%,0.269444,15:36 ET
$SPX,4273.79,Put,4070,8/18/2023,74,41,41.8,42.6,42.3,626,304,2.06,17.27%,-0.217335,15:55 ET
$VIX,14.73,Call,15,6/21/2023,16,1.75,1.79,1.83,1.82,16061,7856,2.04,156.81%,0.54602,16:10 ET
$SPX,4273.79,Call,4295,6/16/2023,11,28.3,29,29.7,28.97,7154,3520,2.03,12.08%,0.439402,15:38 ET
$SPX,4273.79,Call,4330,6/12/2023,7,6.2,6.45,6.7,6.39,1257,620,2.03,10.07%,0.194791,16:12 ET
$SPX,4273.79,Call,4330,6/7/2023,2,1,1.08,1.15,1.02,1842,913,2.02,11.38%,0.065061,16:08 ET
$SPX,4273.79,Call,4330,6/8/2023,3,2.35,2.48,2.6,2.42,1494,739,2.02,11.46%,0.112728,16:12 ET
$SPX,4273.79,Put,4285,6/9/2023,4,23.4,23.75,24.1,24.71,1094,550,1.99,10.51%,-0.579521,16:04 ET
$SPX,4273.79,Put,3650,6/12/2023,7,0.1,0.18,0.25,0.15,502,253,1.98,40.42%,-0.002103,15:47 ET
$SPX,4273.79,Put,4180,6/6/2023,1,0.15,0.2,0.25,0.2,730,373,1.96,19.26%,-0.013232,16:13 ET
$SPX,4273.79,Put,4195,6/12/2023,7,3.7,3.85,4,3.9,510,260,1.96,11.77%,-0.11438,15:58 ET
$SPX,4273.79,Call,4725,8/18/2023,74,2.35,2.55,2.75,2.65,888,466,1.91,10.71%,0.033258,15:55 ET
$SPX,4273.79,Put,4030,7/7/2023,32,11.9,12.1,12.3,11.27,602,315,1.91,17.69%,-0.109929,12:39 ET
$SPX,4273.79,Put,4270,6/9/2023,4,16.6,16.85,17.1,17.2,1120,590,1.9,11.01%,-0.452357,16:14 ET
$SPX,4273.79,Put,4300,11/17/2023,165,147.4,148.35,149.3,149.76,502,266,1.89,15.31%,-0.453902,15:24 ET
$SPX,4273.79,Call,4220,6/6/2023,1,55.1,56.75,58.4,55.03,511,273,1.87,19.99%,0.890549,16:06 ET
$SPX,4273.79,Call,4270,6/8/2023,3,22.1,22.45,22.8,21.43,907,490,1.85,12.65%,0.547606,16:06 ET
$SPX,4273.79,Put,4320,6/5/2023,0,43.6,46.9,50.2,45.53,625,340,1.84,21.64%,-0.828545,15:59 ET
$SPX,4273.79,Call,4310,6/12/2023,7,11,11.3,11.6,11.17,930,521,1.79,10.06%,0.298453,16:14 ET
$SPX,4273.79,Put,4220,6/12/2023,7,6.3,6.55,6.8,6.87,697,404,1.73,10.96%,-0.184366,16:01 ET
$SPX,4273.79,Put,4235,6/9/2023,4,6.6,6.8,7,7.1,720,416,1.73,11.99%,-0.220154,16:14 ET
$VIX,14.73,Put,16,10/18/2023,135,0.47,0.5,0.52,0.48,1501,887,1.69,0.00%,0,10:07 ET
$SPX,4273.79,Call,4300,6/13/2023,8,17.6,18,18.4,17.98,581,348,1.67,10.81%,0.380474,16:02 ET
$SPX,4273.79,Call,4265,6/6/2023,1,16.9,17.15,17.4,16.75,2108,1264,1.67,13.32%,0.625087,16:14 ET
$SPX,4273.79,Put,4260,6/16/2023,11,25.7,26.4,27.1,30.3,1520,910,1.67,11.94%,-0.412157,15:10 ET
$SPX,4273.79,Call,4280,6/8/2023,3,16.7,16.9,17.1,16.4,922,555,1.66,12.30%,0.465297,16:10 ET
$SPX,4273.79,Put,4065,6/7/2023,2,0.1,0.18,0.25,0.2,802,483,1.66,27.75%,-0.006932,15:55 ET
$SPX,4273.79,Put,3950,8/18/2023,74,28.6,29.05,29.5,29.4,581,359,1.62,19.48%,-0.147317,15:57 ET
$SPX,4273.79,Put,4000,6/12/2023,7,0.3,0.4,0.5,0.4,2658,1642,1.62,20.80%,-0.009542,16:12 ET
$SPX,4273.79,Call,4290,6/8/2023,3,12.1,12.3,12.5,12.6,710,444,1.6,12.03%,0.380822,15:58 ET
$SPX,4273.79,Put,3600,6/12/2023,7,0.1,0.15,0.2,0.15,6540,4148,1.58,43.62%,-0.001958,16:02 ET
$SPX,4273.79,Put,4290,6/9/2023,4,26.2,26.5,26.8,27.3,1624,1037,1.57,10.35%,-0.623471,16:14 ET
$SPX,4273.79,Put,4225,6/9/2023,4,5,5.2,5.4,5.35,2936,1865,1.57,12.44%,-0.177181,16:14 ET
$SPX,4273.79,Put,4225,6/6/2023,1,0.4,0.48,0.55,0.52,3542,2260,1.57,13.00%,-0.043618,16:14 ET
$SPX,4273.79,Call,4340,6/7/2023,2,0.5,0.6,0.7,0.55,916,586,1.56,11.46%,0.037965,16:14 ET
$SPX,4273.79,Put,4300,6/14/2023,9,43.1,43.5,43.9,44.11,543,353,1.54,11.68%,-0.613357,16:13 ET
$SPX,4273.79,Put,3700,6/13/2023,8,0.15,0.25,0.35,0.24,522,338,1.54,36.53%,-0.00335,16:13 ET
$SPX,4273.79,Put,4140,6/6/2023,1,0.05,0.13,0.2,0.15,781,511,1.53,25.37%,-0.007949,16:04 ET
$SPX,4273.79,Put,4150,8/18/2023,74,54.6,55.15,55.7,55.7,528,346,1.53,15.89%,-0.286903,15:57 ET
$SPX,4273.79,Call,4300,6/7/2023,2,5.4,5.55,5.7,5.4,4847,3218,1.51,11.56%,0.248927,16:14 ET
$SPX,4273.79,Call,4340,6/8/2023,3,1.45,1.55,1.65,1.5,769,512,1.5,11.45%,0.075632,16:06 ET
$SPX,4273.79,Call,4320,6/12/2023,7,8.3,8.6,8.9,8.47,1408,947,1.49,10.03%,0.242915,16:14 ET
$SPX,4273.79,Put,4200,6/7/2023,2,0.65,0.73,0.8,0.8,2762,1858,1.49,14.03%,-0.04387,16:08 ET
$SPX,4273.79,Put,3200,7/7/2023,32,0.8,0.9,1,0.9,1004,680,1.48,39.83%,-0.005407,13:23 ET
$SPX,4273.79,Call,4275,6/7/2023,2,15.3,15.5,15.7,14.82,1392,948,1.47,12.29%,0.501631,16:11 ET
$SPX,4273.79,Put,4300,6/16/2023,11,43.5,44.55,45.6,45.5,14919,10137,1.47,11.46%,-0.600998,15:59 ET
$SPX,4273.79,Put,4250,6/8/2023,3,7.5,7.7,7.9,8.3,837,574,1.46,11.39%,-0.280737,16:06 ET
$SPX,4273.79,Put,4250,6/12/2023,7,12.5,12.85,13.2,13.28,1362,937,1.45,10.25%,-0.324052,16:14 ET
$SPX,4273.79,Call,4310,6/8/2023,3,5.7,5.9,6.1,5.67,1020,714,1.43,11.69%,0.226258,16:06 ET
$SPX,4273.79,Put,3500,6/12/2023,7,0.05,0.13,0.2,0.1,582,411,1.42,48.33%,-0.00122,16:08 ET
$SPX,4273.79,Call,4525,8/18/2023,74,18.1,18.55,19,19.2,1541,1093,1.41,10.65%,0.172497,15:49 ET
$SPX,4273.79,Put,4280,6/9/2023,4,21.1,21.3,21.5,21.75,1256,899,1.4,10.71%,-0.535861,16:14 ET
$SPX,4273.79,Call,4230,6/6/2023,1,46.3,46.95,47.6,47.08,735,527,1.39,17.99%,0.867248,16:01 ET
$SPX,4273.79,Call,4280,6/7/2023,2,12.7,12.9,13.1,12.53,2197,1607,1.37,12.10%,0.449655,16:12 ET
$SPX,4273.79,Call,4255,6/6/2023,1,24.1,24.55,25,24.01,510,377,1.35,14.09%,0.732368,16:13 ET
$SPX,4273.79,Call,4500,6/12/2023,7,0.05,0.1,0.15,0.1,680,521,1.31,13.72%,0.003993,15:55 ET
$SPX,4273.79,Put,4130,6/9/2023,4,0.6,0.68,0.75,0.67,1563,1193,1.31,16.80%,-0.023619,16:05 ET
$SPX,4273.79,Call,4260,6/5/2023,0,13.4,15.2,17,15.5,3874,3027,1.28,6.35%,0.846921,15:59 ET
$SPX,4273.79,Put,4275,6/9/2023,4,18.7,18.95,19.2,19.3,2134,1677,1.27,10.85%,-0.493534,16:14 ET
$SPX,4273.79,Put,4280,6/16/2023,11,33.7,34.45,35.2,35,3060,2421,1.26,11.70%,-0.504206,16:15 ET
$SPX,4273.79,Put,4240,6/12/2023,7,10,10.3,10.6,10.6,595,473,1.26,10.63%,-0.273466,16:14 ET
$SPX,4273.79,Put,4125,6/7/2023,2,0.15,0.22,0.3,0.27,1579,1255,1.26,21.30%,-0.011569,15:53 ET
